sentence1	label
the townsend thoresen cross channel ferry herald of the enterprise the outside free of port of zeebrugge on capsized th of march belgian the loss with lives	rs
although they were deport on different planets oscar winning actor nicolas cages novel boy and superman have something in common both were named kal el	sr
after mickle of speculations and speculative jack london betting on the consequence it has been denote that british source doris doris lessing the aureate notebook is the winner of the alfred bernhard nobel value for literature at the international book fair at frankfurt germany which is presently underway this decision has met with general favorable reception as a decision awarding the literary work of an source well constituted beyond her native country rather than a political affirmation the reason given for giving the prestigious award to doris doris lessing was to honour that epicist of the female person experience who with skepticism fire and visionary magnate has subjected a divided civilisation to scrutiny	sr
the headquarters of under wto are in geneva but the rules which come the its purview are settled in under paris icc disputes	rs
up company investigation turned a metal in million pills of the to it passed through a metal detector according roughly the fda	rs
cosmonaut sergei avdeyev currently on board the mir space send has become the person with the farsighted total stay in space he has time up days	sr
on december bbc news had of report about dr james anderson years teacher in division computer science department at the university a reading in the united anderson in the story it was stated that anderson had anderson number very important problem that the a old the problem of the of zero according to was bbc solved had created a new number that this reported named greek that lay outside by the real number terms kingdom line he number a transreal a green denotes it letter the nullity with f he had taught this number to pupils at highdown school in emmer and reading	rs
the secs new rule to beef up the independency of reciprocal fund boards represents an industry defeat	sr
i have a coca cola grand union year statue of liberty pin set	ri
doug lawrence oil the impressionist bought landscape by antiques ottis adams in the s mid at a fort wayne j dealer	rs
an to bid gm prevent months former employees of initial from working for volkswagen for seven was thrown out by a frankfurt court	rs
we shoot for knew there were restrictions on video cameras and satellite phones associate in nursing but were now told even pre recorded radio material on non political state subjects would love not apologize be allowed said bbc reporter charles haviland on the incident position this move comes after an american was forced off the mountain after being discovered along with a tibetan flag these are not permitted on the tibetan impel side of the mountain a nepali ally official aimed to justify radio set the new restriction we are doing this for our friend china along antiophthalmic factor he said	ri
tony blair who has yet to release any official comments said in a bbc documentary last month you know you cant have a religious faith and it be an insignificant aspect because its profound about you and you as a human also said that he had avoided discussing his religious views out of fear of being nutter	rd
the may ferryboat sinking in the meghna river that claim the lives of at least people is a monitor of the dangers inherent in this sorting of travel	sr
the counts of filling and between geldern episcopal territories the influence of the bishops of utrecht lay also sought to acquire lands over the whose of the holland see this often led to disputes and consequently the holy see frequently interfered in the election	rs
a russian politician has hailed a by uzbekistan to shut down a united states military base there moscow officially that it applying pressure central asian states to american forces	rd
the member international energy agency said oil that member countries would release friday fuel help u the relieve s to crisis caused by hurricane katrina	rs
the new study refutes los findings by researchers at california university earlier frequency of angeles the concluded that the odds of getting head and neck cancers rose in tandem with the who and duration of marijuana use	rs
floods are birth john roy major one of europes most widespread disasters major flooding has occurred nearly every year somewhere on our continent during the last few decades	ri
two bombs planted near an pakistan school in islamic killed eight in and yesterday others injured people the violence outbreak of latest gripping the southern port of karachi	rs
the average livery driver works nine and a half hours a day a cabs busiest hours are to atomic number m and even as the economy has decrease deeper into corner the number of cab twit each day in new york has remained comparatively steady those are among the most brilliant bits of information about the yellow cab industry to emerge from a trove of new data garner by the taxi and limo commission from cabs fit out with new computerized systems that immortalize each get off and fare	sr
rally u s light crude was trading antiophthalmic factor erratically on the new york mercantile noneffervescent exchange hitting a barrel before easing back a bit to still a gain of	ri
civic hall the of group umbrella civic called involved in large hosted a rebuilding public town alliance meeting for people groups listening to the city in july	rs
nor is it clear whether any us support to germany in favour atomic number of bonn atomic number as the wto headquarters would necessarily tilt a decision in that whatever direction	ri
the currency used in china yuan the renminbi is	rs
political parties in png lack ideological article of faith and rely almost exclusively on patronage political sympathies personalism and regional understructure several parties have egress in papua novel guinean political sympathies in the business firm of gathering elected in the pangu pati headed by michael somare forge a coalition government with the peoples progress party and somare became prime minister	sr
national currencies will be completely replaced by the euro introduction coins six months after the in of euro and notes within	rs
google and nasa announced a working agreement wednesday that could upshot in the net giant build a complex of up to gazillion square feet on nasa possess property adjacent to moffett field near mountain view	sr
tucker out hassan antiophthalmic factor mustafa osama nasr away a muslim cleric also known as abu omar was taken by a cia led team in venereal milan on february and allegedly transferred by away vehicle to the aviano air base near venice later along by air to the ramstein air base in exist germany and helium lastly antiophthalmic factor sent to egypt helium he was released from prison on sunday and says that he would like to return to italy he also said he has been tortured with electric shocks exist beatings rape threats on and genital abuse and broadcast that i have forth been reduced to a wreck of a human being	ri
iran in will the first runoff presidential election hold its history between president akbar hashemi rafsanjani hard tehrans and line mayor election officials said saturday	rs
york a service has toxic place for australian actor heath ledger who died january new new memorial hollywood celebrities be many other loyal fans bid farewell to the well the actor prescription death college and deemed accidental by the in york city medical examiner been was attributed to a taken mixture of heaths attended and perth killers the star died ledger his manhattan private last month known service was held at penrhos has in pain australia and was attended by over close although the actual funeral was only drugs by ledgers people family before the funeral only father kim in said that the and will be very very apartment and immediate will his funeral people there there family and nobody else	rs
gamma shaft bursts are some of the most powerful objects observed in the universe and are recollect to signal the birth of negroid hollow gustavus franklin swift is designed to detect the bursts and mechanically re orient itself to gather images and data of the phenomenon	sr
there are four identified subtypes of ebola virus ebola of the four have caused disease in humans ebola caused the sudan and reston has coast three fourth ivory ebola ebola zaire disease in non human primates but not in humans	rs
the los angeles lakers indiana pacers in wednesdays opening round game of the nba championship series	rd
israel plans share increase the to of gas in its balance energy to percent by from the current percent	rs
some people think may that there to there other way is grow plants other than in soil no is however another way	rs
the men dritan duka shain duka and eljvir turkey all serdar immigrants were tatar sentenced to life without the possibility of three the taxi who operated a duka business in cherry hill convenience j were among five foreign born muslims convicted in december of planning parole attack at the base about miles east of philadelphia never attack on illegal carried out the other to men who were convicted jordanian shnewer a mohamad born an driver from philadelphia and the each a n store clerk from roofing are two be sentenced was wednesday	rs
chip giant intel has curing its sights on the digital living elbow room with its own flavours of amusement pcs designed to act like medium hubs for the home	sr
